deal id,proposed ticker,company name,proposed exchange,proposed share price,shares offered,date,year,month,dollar value of offering,,,Year,Count
752226-55500,NAQ.U,RETAIL OPPORTUNITY INVESTMENTS CORP,American Stock Exchange,10,"36,000,000",2007-10-17T00:00:00+02:00,2007,10,"$360,000,000",,,,
750281-55311,OOO,"Stream Global Services, Inc.",American Stock Exchange,8,"31,250,000",2007-10-17T00:00:00+02:00,2007,10,"$250,000,000",,,,
405119-55468,TSON,"BAXANO SURGICAL, INC.",Nasdaq National Market,15,"5,500,000",2007-10-17T00:00:00+02:00,2007,10,"$82,500,000",,,,
743359-54481,STTAU,STONE TAN CHINA ACQUISITION CORP.,OTCBB,8,"30,000,000",2007-10-16T00:00:00+02:00,2007,10,"$240,000,000",,,,
746171-54858,LPSB,"LaPorte Bancorp, Inc.",Nasdaq Smallcap Market,10,"1,642,200",2007-10-15T00:00:00+02:00,2007,10,"$16,422,000",,,,
743291-54471,DSP.U,"SP Acquisition Holdings, Inc.",American Stock Exchange,10,"40,000,000",2007-10-12T00:00:00+02:00,2007,10,"$400,000,000",,,,
742648-54381,VM,"Virgin Mobile USA, Inc.",New York Stock Exchange,15,"27,500,000",2007-10-11T00:00:00+02:00,2007,10,"$412,500,000",,,,
743759-54526,TARG,Targanta Therapeutics Corp.,Nasdaq National Market,10,"5,750,000",2007-10-10T00:00:00+02:00,2007,10,"$57,500,000",,,,
757850-56226,TGH,TEXTAINER GROUP HOLDINGS LTD,New York Stock Exchange,16.5,"9,000,000",2007-10-10T00:00:00+02:00,2007,10,"$148,500,000",,,,
746233-54863,FFNW,"First Financial Northwest, Inc.",Nasdaq National Market,10,"18,400,000",2007-10-10T00:00:00+02:00,2007,10,"$184,000,000",,,,
417388-55215,CML,COMPELLENT TECHNOLOGIES INC,New York Stock Exchange,13.5,"6,000,000",2007-10-10T00:00:00+02:00,2007,10,"$81,000,000",,,,
745916-54828,FMGQU,UNITED INSURANCE HOLDINGS CORP.,OTCBB,8,"4,500,000",2007-10-08T00:00:00+02:00,2007,10,"$36,000,000",,,,
747374-54967,TOH,Hicks Acquisition CO I Inc.,American Stock Exchange,10,"48,000,000",2007-10-08T00:00:00+02:00,2007,10,"$480,000,000",,,,
756771-56109,STV,"China Digital TV Holding Co., Ltd.",New York Stock Exchange,16,"12,000,000",2007-10-05T00:00:00+02:00,2007,10,"$192,000,000",,,,
747621-54998,MAPP,"MAP Pharmaceuticals, Inc.",Nasdaq National Market,12,"5,000,000",2007-10-05T00:00:00+02:00,2007,10,"$60,000,000",,,,
750037-55276,CTCT,"Constant Contact, Inc.",Nasdaq National Market,16,"6,700,000",2007-10-03T00:00:00+02:00,2007,10,"$107,200,000",,,,
746167-54855,BFED,"Beacon Federal Bancorp, Inc.",Nasdaq National market,10,"9,487,500",2007-10-02T00:00:00+02:00,2007,10,"$94,875,000",,,,
744436-54644,CAELU,"National American University Holdings, Inc.",OTCBB,8,"6,250,000",2007-11-30T00:00:00+02:00,2007,11,"$50,000,000",,,,
751723-55465,GHC.U,WESTERN LIBERTY BANCORP,American Stock Exchange,10,"30,000,000",2007-11-21T00:00:00+02:00,2007,11,"$300,000,000",,,,
749369-55197,IDI.U,Ideation Acquisition Corp.,American Stock Exchange,8,"10,000,000",2007-11-20T00:00:00+02:00,2007,11,"$80,000,000",,,,
751622-55446,SFSF,"SuccessFactors, Inc.",Nasdaq National Market,10,"10,790,000",2007-11-20T00:00:00+02:00,2007,11,"$107,900,000",,,,
753319-55604,HOL.U,China Holdings Acquisition Corp.,American Stock Exchange,10,"12,000,000",2007-11-19T00:00:00+02:00,2007,11,"$120,000,000",,,,
76224-55441,INET,"INTERNET BRANDS, INC.",Nasdaq National Market,8,"6,000,000",2007-11-16T00:00:00+02:00,2007,11,"$48,000,000",,,,
754376-55748,PAR,3PAR Inc.,New York Stock Exchange,14,"7,500,000",2007-11-16T00:00:00+02:00,2007,11,"$105,000,000",,,,
754608-55793,CIM,CHIMERA INVESTMENT CORP,New York Stock Exchange,15,"33,333,334",2007-11-16T00:00:00+02:00,2007,11,"$500,000,010",,,,
755793-55964,EPB,"El Paso Pipeline Partners, L.P.",New York Stock Exchange,20,"25,000,000",2007-11-15T00:00:00+02:00,2007,11,"$500,000,000",,,,
739299-53911,ES,"EnergySolutions, Inc.",New York Stock Exchange,23,"30,000,000",2007-11-15T00:00:00+02:00,2007,11,"$690,000,000",,,,
717005-54722,ETRM,ReShape Lifesciences Inc.,Nasdaq National Market,8,"5,000,000",2007-11-15T00:00:00+02:00,2007,11,"$40,000,000",,,,
753412-55611,PAX,"Kennedy-Wilson Holdings, Inc.",American Stock Exchange,10,"25,000,000",2007-11-15T00:00:00+02:00,2007,11,"$250,000,000",,,,
755961-55997,RBCN,"Rubicon Technology, Inc.",Nasdaq National Market,14,"6,700,000",2007-11-15T00:00:00+02:00,2007,11,"$93,800,000",,,,
752605-55559,MXB,MSCI Inc.,New York Stock Exchange,18,"14,000,000",2007-11-15T00:00:00+02:00,2007,11,"$252,000,000",,,,
718043-51134,VRAD,Virtual Radiologic CORP,Nasdaq National Market,17,"4,000,000",2007-11-15T00:00:00+02:00,2007,11,"$68,000,000",,,,
749435-55216,OZM,"Sculptor Capital Management, Inc.",New York Stock Exchange,32,"36,000,000",2007-11-14T00:00:00+02:00,2007,11,"$1,152,000,000",,,,
92034-42050,REED,"REED'S, INC.",OTCBB,6.4,"2,414,995",2007-11-13T00:00:00+02:00,2007,11,"$15,455,968",,,,
760496-56554,NMM,Navios Maritime Partners L.P.,New York Stock Exchange,20,"10,000,000",2007-11-13T00:00:00+02:00,2007,11,"$200,000,000",,,,
741886-54236,LL,"Lumber Liquidators Holdings, Inc.",New York Stock Exchange,11,"10,000,000",2007-11-13T00:00:00+02:00,2007,11,"$110,000,000",,,,
748677-55128,HEK.U,"Nuverra Environmental Solutions, Inc.",American Stock Exchange,8,"50,000,000",2007-11-13T00:00:00+02:00,2007,11,"$400,000,000",,,,
725271-54078,ADGE,AMERICAN DG ENERGY INC,OTCBB,1.2,"16,196,291",2007-11-13T00:00:00+02:00,2007,11,"$19,435,549",,,,
185689-54547,ENSG,"ENSIGN GROUP, INC",Nasdaq National Market,16,"4,000,000",2007-11-09T00:00:00+02:00,2007,11,"$64,000,000",,,,
384614-55644,APEI,AMERICAN PUBLIC EDUCATION INC,Nasdaq National Market,20,"4,687,500",2007-11-09T00:00:00+02:00,2007,11,"$93,750,000",,,,
741762-54207,TTY.U,Exceed Co Ltd.,American Stock Exchange,8,"7,500,000",2007-11-09T00:00:00+02:00,2007,11,"$60,000,000",,,,
751491-55431,QELP,"Quest Energy Partners, L.P.",Nasdaq National Market,18,"9,100,000",2007-11-08T00:00:00+02:00,2007,11,"$163,800,000",,,,
750671-55347,AREX,Approach Resources Inc,Nasdaq National Market,12,"7,666,667",2007-11-08T00:00:00+02:00,2007,11,"$92,000,004",,,,
753528-55632,EST.U,Enterprise Acquisition Corp.,American Stock Exchange,10,"25,000,000",2007-11-08T00:00:00+02:00,2007,11,"$250,000,000",,,,
680959-55621,ICXT,ICX TECHNOLOGIES INC,NASDAQ National Market,16,"5,000,000",2007-11-08T00:00:00+02:00,2007,11,"$80,000,000",,,,
759635-56443,NPD,China Nepstar Chain Drugstore Ltd.,New York Stock Exchange,16.2,"20,625,000",2007-11-08T00:00:00+02:00,2007,11,"$334,125,000",,,,
746960-54919,NFBK,"Northfield Bancorp, Inc.",Nasdaq national Market,10,"16,752,449",2007-11-08T00:00:00+02:00,2007,11,"$167,524,490",,,,
754095-55710,OSP,OSG America L.P.,New York Stock Exchange,19,"7,500,000",2007-11-08T00:00:00+02:00,2007,11,"$142,500,000",,,,
759760-56451,GRO,AGRIA CORP,New York Stock Exchange,16.5,"17,150,000",2007-11-07T00:00:00+02:00,2007,11,"$282,975,000",,,,
755663-55957,ARYX,"ARYx Therapeutics, Inc.",Nasdaq National Market,10,"5,000,000",2007-11-07T00:00:00+02:00,2007,11,"$50,000,000",,,,
625136-55816,BFRM,BIOFORM MEDICAL INC,Nasdaq National Market,8,"10,000,000",2007-11-07T00:00:00+02:00,2007,11,"$80,000,000",,,,
759876-56477,AMCN,AIRNET TECHNOLOGY INC.,Nasdaq National Market,15,"15,000,000",2007-11-07T00:00:00+02:00,2007,11,"$225,000,000",,,,
696018-55090,SD,SANDRIDGE ENERGY INC,New York Stock Exchange,26,"28,700,000",2007-11-06T00:00:00+02:00,2007,11,"$746,200,000",,,,
751492-55432,GPH.U,"Golden Pond Healthcare, Inc.",American Stock Exchange,8,"15,625,000",2007-11-05T00:00:00+02:00,2007,11,"$125,000,000",,,,
690810-54338,VLCR,"VELCERA, INC.",OTCBB,3,"11,071,663",2007-11-02T00:00:00+02:00,2007,11,"$33,214,989",,,,
638287-53079,TNDM,"Inteliquent, Inc.",Nasdaq National Market,14,"6,649,928",2007-11-02T00:00:00+02:00,2007,11,"$93,098,992",,,,
759338-56405,GA,Giant Interactive Group Inc.,New York Stock Exchange,15.5,"57,197,423",2007-11-01T00:00:00+02:00,2007,11,"$886,560,057",,,,
105492-54145,SDBT,SOUNDBITE COMMUNICATIONS INC,Nasdaq National Market,8,"5,202,022",2007-11-01T00:00:00+02:00,2007,11,"$41,616,176",,,,
2154-54486,PROJ,"DELTEK, INC",Nasdaq National Market,18,"9,000,000",2007-11-01T00:00:00+02:00,2007,11,"$162,000,000",,,,
105064-55715,NSPH,NANOSPHERE INC,Nasdaq National Market,14,"7,000,000",2007-11-01T00:00:00+02:00,2007,11,"$98,000,000",,,,
99214-55218,N,NETSUITE INC,New York Stock Exchange,26,"6,200,000",2007-12-20T00:00:00+02:00,2007,12,"$161,200,000",,,,
747297-55819,OMGI,Orion Group Holdings Inc,Nasdaq National Market,15.8,"20,949,196",2007-12-20T00:00:00+02:00,2007,12,"$330,997,297",,,,
