deal id,proposed ticker,company name,proposed exchange,proposed share price,shares offered,date,year,month,dollar value of offering,,,Year,Count
743769-54529,YGE,YINGLI GREEN ENERGY HOLDING CO LTD,New York Stock Exchange,11,"29,000,000",2007-06-08T00:00:00+03:00,2007,6,"$319,000,000",,,,
106988-53506,INFN,Infinera Corp,Nasdaq National Market,13,"14,000,000",2007-06-07T00:00:00+03:00,2007,6,"$182,000,000",,,,
737126-53628,STAR,"Starent Networks, Corp.",Nasdaq National Market,12,"10,534,841",2007-06-06T00:00:00+03:00,2007,6,"$126,418,092",,,,
176697-52748,RGDX,RESPONSE GENETICS INC,Nasdaq SmallCap Market,7,"3,000,000",2007-06-05T00:00:00+03:00,2007,6,"$21,000,000",,,,
743796-54540,LDK,"LDK Solar Co., Ltd.",New York Stock Exchange,27,"17,384,000",2007-06-01T00:00:00+03:00,2007,6,"$469,368,000",,,,
406407-53659,JAZZ,Jazz Pharmaceuticals plc,Nasdaq National Market,18,"6,000,000",2007-06-01T00:00:00+03:00,2007,6,"$108,000,000",,,,
746828-54898,,North Penn Bancorp Inc,OTCBB,10,"1,322,500",2007-07-30T00:00:00+03:00,2007,7,"$13,225,000",,,,
742560-54363,LULU,lululemon athletica inc.,Nasdaq National Market,18,"18,200,000",2007-07-27T00:00:00+03:00,2007,7,"$327,600,000",,,,
749508-55232,PWRD,"Perfect World Co., Ltd.",Nasdaq National Market,16,"11,800,000",2007-07-26T00:00:00+03:00,2007,7,"$188,800,000",,,,
750267-55308,VOLT,Voltaire Ltd.,Nasdaq National Market,9,"5,770,000",2007-07-26T00:00:00+03:00,2007,7,"$51,930,000",,,,
694800-53004,VR,VALIDUS HOLDINGS LTD,New York Stock Exchange,22,"15,244,888",2007-07-25T00:00:00+03:00,2007,7,"$335,387,536",,,,
732842-53143,TYPE,Monotype Imaging Holdings Inc.,Nasdaq National Market,12,"11,000,000",2007-07-25T00:00:00+03:00,2007,7,"$132,000,000",,,,
742405-54337,REXX,REX ENERGY CORP,Nasdaq National Market,11,"9,600,000",2007-07-25T00:00:00+03:00,2007,7,"$105,600,000",,,,
113474-54031,BLOG,"BladeLogic, Inc.",Nasdaq National Market,17,"5,000,000",2007-07-25T00:00:00+03:00,2007,7,"$85,000,000",,,,
174532-54445,IMRX,IMARX THERAPEUTICS INC,Nasdaq SmallCap Market,5,"3,000,000",2007-07-24T00:00:00+03:00,2007,7,"$15,000,000",,,,
745649-54773,MF,MF Global Holdings Ltd.,New York Stock Exchange,30,"97,379,765",2007-07-20T00:00:00+03:00,2007,7,"$2,921,392,950",,,,
104487-54179,AIRV,AIRVANA INC,Nasdaq National Market,7,"8,300,000",2007-07-20T00:00:00+03:00,2007,7,"$58,100,000",,,,
741475-54159,HGG,"hhgregg, Inc.",New York Stock Exchange,13,"9,375,000",2007-07-20T00:00:00+03:00,2007,7,"$121,875,000",,,,
739663-54512,OWW,"Orbitz Worldwide, Inc.",New York Stock Exchange,15,"34,000,000",2007-07-20T00:00:00+03:00,2007,7,"$510,000,000",,,,
97999-53836,NZ,NETEZZA CORP,New York Stock Exchange,12,"9,000,000",2007-07-19T00:00:00+03:00,2007,7,"$108,000,000",,,,
741367-54149,LIMC,LIMCO-PIEDMONT INC,Nasdaq National Market,11,"4,400,000",2007-07-19T00:00:00+03:00,2007,7,"$48,400,000",,,,
737558-53672,SGLP,"Blueknight Energy Partners, L.P.",Nasdaq National Market,22,"12,500,000",2007-07-18T00:00:00+03:00,2007,7,"$275,000,000",,,,
740167-54016,DHX,"DHI GROUP, INC.",New York Stock Exchange,13,"16,700,000",2007-07-18T00:00:00+03:00,2007,7,"$217,100,000",,,,
666385-54485,EBTX,Encore Bancshares Inc,Nasdaq National Market,21,"1,979,761",2007-07-18T00:00:00+03:00,2007,7,"$41,574,981",,,,
723506-53713,BNCL,Beneficial Mutual Bancorp Inc,Nasdaq National Market,10,"20,527,500",2007-07-16T00:00:00+03:00,2007,7,"$205,275,000",,,,
734585-53376,SHOR,ShoreTel Inc,Nasdaq National Market,9.5,"7,900,000",2007-07-03T00:00:00+03:00,2007,7,"$75,050,000",,,,
722784-51847,,"Vaughan Foods, Inc.",Nasdaq SmallCap Market,6.5,"2,150,000",2007-07-02T00:00:00+03:00,2007,7,"$13,975,000",,,,
748439-55096,CZZ,Cosan Ltd.,New York Stock Exchange,10.5,"86,935,086",2007-08-16T00:00:00+03:00,2007,8,"$912,818,403",,,,
186985-54278,VMW,"VMWARE, INC.",New York Stock Exchange,29,"33,000,000",2007-08-14T00:00:00+03:00,2007,8,"$957,000,000",,,,
194889-54539,MELI,MERCADOLIBRE INC,Nasdaq National Market,18,"16,077,185",2007-08-10T00:00:00+03:00,2007,8,"$289,389,330",,,,
746003-55418,PRGN,Paragon Shipping Inc.,Nasdaq National Market,16,"10,300,000",2007-08-10T00:00:00+03:00,2007,8,"$164,800,000",,,,
731022-55237,ZINC,HORSEHEAD HOLDinG LLC,Nasdaq National Market,18,"4,867,000",2007-08-10T00:00:00+03:00,2007,8,"$87,606,000",,,,
745248-54713,DMAN,"DemandTec, Inc.",Nasdaq National Market,11,"6,000,000",2007-08-09T00:00:00+03:00,2007,8,"$66,000,000",,,,
751806-55471,WX,WuXi PharmaTech (Cayman) Inc.,New York Stock Exchange,14,"13,188,979",2007-08-09T00:00:00+03:00,2007,8,"$184,645,706",,,,
34029-54155,MASI,MASIMO CORP,Nasdaq National Market,17,"11,916,626",2007-08-08T00:00:00+03:00,2007,8,"$202,582,642",,,,
750285-55316,EJ,E-HOUSE (CHINA) HOLDINGS LTD,New York Stock Exchange,13.8,"14,600,000",2007-08-08T00:00:00+03:00,2007,8,"$201,480,000",,,,
103986-53364,HIRE,HIRERIGHT INC,Nasdaq National Market,15,"4,375,000",2007-08-08T00:00:00+03:00,2007,8,"$65,625,000",,,,
696367-50585,IVA,TWIN VEE POWERCATS INC,American Stock Exchange,3.5,"2,300,000",2007-08-07T00:00:00+03:00,2007,8,"$8,050,000",,,,
734457-53346,KGS,Crestwood Midstream Partners LP,New York Stock Exchange,21,"5,000,000",2007-08-07T00:00:00+03:00,2007,8,"$105,000,000",,,,
738992-53874,AMV,Alternative Asset Management Acquisition Corp.,American Stock Exchange,10,"36,000,000",2007-08-03T00:00:00+03:00,2007,8,"$360,000,000",,,,
704146-54243,CXO,CONCHO RESOURCES INC,New York Stock Exchange,11.5,"20,887,107",2007-08-03T00:00:00+03:00,2007,8,"$240,201,731",,,,
712513-50384,SCMP,"Sucampo Pharmaceuticals, Inc.",Nasdaq National Market,11.5,"3,750,000",2007-08-03T00:00:00+03:00,2007,8,"$43,125,000",,,,
386130-54051,VRTU,VIRTUSA CORP,NASDAQ National Market,14,"4,400,000",2007-08-03T00:00:00+03:00,2007,8,"$61,600,000",,,,
743789-54537,G,Genpact LTD,New York Stock Exchange,14,"35,294,118",2007-08-02T00:00:00+03:00,2007,8,"$494,117,652",,,,
742106-54277,DM,Dolan Co.,New York Stock Exchange,14.5,"13,456,522",2007-08-02T00:00:00+03:00,2007,8,"$195,119,569",,,,
738007-53734,KHA,KBL Healthcare Acquisition Corp III,American Stock Exchange,8,"15,000,000",2007-08-01T00:00:00+03:00,2007,8,"$120,000,000",,,,
745055-54694,DUF,Duff & Phelps CORP,New York Stock Exchange,16,"8,300,000",2007-09-28T00:00:00+02:00,2007,9,"$132,800,000",,,,
631754-52265,RCH,"China CGame, Inc.",American Stock Exchange,3.5,"737,000",2007-09-28T00:00:00+02:00,2007,9,"$2,579,500",,,,
756544-56074,FLY,Fly Leasing Ltd,New York Stock Exchange,23,"18,695,650",2007-09-27T00:00:00+02:00,2007,9,"$429,999,950",,,,
716667-50960,UFFC,"UFOOD RESTAURANT GROUP, INC.",OTCBB,1.08,"5,800,000",2007-09-25T00:00:00+02:00,2007,9,"$6,264,000",,,,
159787-55087,ATHN,ATHENAHEALTH INC,Nasdaq National Market,18,"6,286,819",2007-09-20T00:00:00+02:00,2007,9,"$113,162,742",,,,
389878-53025,SOPW,"SPI Energy Co., Ltd.",OTCBB,1.25,"18,753,334",2007-09-17T00:00:00+02:00,2007,9,"$23,441,668",,,,
743766-54528,ENP,Encore Energy Partners LP,New York Stock Exchange,21,"9,000,000",2007-09-12T00:00:00+03:00,2007,9,"$189,000,000",,,,
676185-44925,IAQGU,InterAmerican Acquisition Group Inc,OTCBB,8,"5,000,000",2007-09-05T00:00:00+03:00,2007,9,"$40,000,000",,,,
759017-56369,CISG,FANHUA INC.,Nasdaq National Market,16,"11,762,413",2007-10-31T00:00:00+02:00,2007,10,"$188,198,608",,,,
759224-56392,SMLC,B COMMUNICATIONS LTD,Nasdaq National Market,16,"6,675,000",2007-10-31T00:00:00+02:00,2007,10,"$106,800,000",,,,
128630-55578,GXDX,GENOPTIX INC,Nasdaq National Market,17,"5,000,000",2007-10-30T00:00:00+02:00,2007,10,"$85,000,000",,,,
747733-55018,TMI.U,"China MediaExpress Holdings, Inc.",American Stock Exchange,8,"9,000",2007-10-29T00:00:00+02:00,2007,10,"$72,000",,,,
750254-55305,SRG,SEANERGY MARITIME CORP.,American Stock Exchange,10,"22,000,000",2007-10-26T00:00:00+02:00,2007,10,"$220,000,000",,,,
735098-53421,NBY,"NovaBay Pharmaceuticals, Inc.",American Stock Exchange,4,"5,000,000",2007-10-26T00:00:00+02:00,2007,10,"$20,000,000",,,,
743884-54566,PMII,"Power Medical Interventions, Inc.",Nasdaq National Market,11,"3,850,000",2007-10-26T00:00:00+02:00,2007,10,"$42,350,000",,,,
745536-54933,PZN,"Pzena Investment Management, Inc.",New York Stock Exchange,18,"6,100,000",2007-10-25T00:00:00+02:00,2007,10,"$109,800,000",,,,
750092-55286,ULTA,"Ulta Beauty, Inc.",NASDAQ National Market,18,"8,539,648",2007-10-25T00:00:00+02:00,2007,10,"$153,713,664",,,,
729439-52742,FGXI,FGX International Holdings LTD,Nasdaq National Market,16,"12,000,000",2007-10-25T00:00:00+02:00,2007,10,"$192,000,000",,,,
748488-55112,HLD.U,"Ultimate Escapes, Inc.",American Stock Exchange,8,"10,000,000",2007-10-24T00:00:00+02:00,2007,10,"$80,000,000",,,,
758283-56297,LFT,LONGTOP FINANCIAL TECHNOLOGIES LTD,New York Stock Exchange,17.5,"10,434,500",2007-10-24T00:00:00+02:00,2007,10,"$182,603,750",,,,
742069-54270,VNR,"Grizzly Energy, LLC",New York Stock Exchange,19,"5,250,000",2007-10-24T00:00:00+02:00,2007,10,"$99,750,000",,,,
734912-53411,IAN,"Inter-Atlantic Financial, Inc.",American Stock Exchange,8,"7,500,000",2007-10-23T00:00:00+02:00,2007,10,"$60,000,000",,,,
729958-55234,FUQI,"FUQI INTERNATIONAL, INC.",Nasdaq National Market,9,"7,033,816",2007-10-23T00:00:00+02:00,2007,10,"$63,304,344",,,,
721774-51663,CVI,CVR ENERGY INC,New York Stock Exchange,19,"20,000,000",2007-10-23T00:00:00+02:00,2007,10,"$380,000,000",,,,
750686-55354,TCW.U,Triplecrown Acquisition Corp.,American Stock Exchange,10,"8,000,000",2007-10-23T00:00:00+02:00,2007,10,"$80,000,000",,,,
757452-56204,NED,NOAH EDUCATION HOLDINGS LTD.,New York Stock Exchange,14,"9,847,129",2007-10-19T00:00:00+02:00,2007,10,"$137,859,806",,,,
753931-55689,DFT,"DUPONT FABROS TECHNOLOGY, INC.",New York Stock Exchange,21,"30,500,000",2007-10-19T00:00:00+02:00,2007,10,"$640,500,000",,,,
78655-55454,MXT,MAXCOM TELECOMMUNICATIONS INC,New York Stock Exchange,17.5,"12,296,970",2007-10-19T00:00:00+02:00,2007,10,"$215,196,975",,,,
